agent_count,mean_conflict_reduction,mean_feasible_rate,mean_no_progress_rate,mean_total_seconds,pooled_conflict_reduction_per_second,split,state_count,strategy
all,10.46031746031746,0.373015873015873,0.11507936507936507,0.4708873318449477,22.214055789807915,policy_train,126,v2_full
all,8.575396825396826,0.36507936507936506,0.061507936507936505,0.35816746967272256,23.94242233453708,policy_train,126,model_s3
all,9.220238095238095,0.43253968253968256,0.021825396825396824,0.3157233063389843,29.203539650438582,policy_train,126,oracle_s3_efficiency
all,10.428571428571429,0.4384920634920635,0.001984126984126984,0.4439602470041274,23.489876625089988,policy_train,126,oracle_s3_quality_time
all,10.44047619047619,0.4384920634920635,0.001984126984126984,0.4556687085874052,22.912427370407254,policy_train,126,oracle_s3_reduction
all,6.328373015873016,0.3194444444444444,0.01488095238095238,0.13995629976678473,45.21677856886942,policy_train,126,oracle_h1_efficiency
all,6.170634920634921,0.21825396825396826,0.1865079365079365,0.1863738762182043,33.108904777032244,policy_train,126,v2_h1
100,1.75,1.0,0.0,0.05140850499969929,34.04105993765499,policy_train,4,v2_full
100,1.5,0.75,0.0,0.06915161624990063,21.69146697279336,policy_train,4,model_s3
100,1.75,1.0,0.0,0.02978906468746345,58.746389601700955,policy_train,4,oracle_s3_efficiency
100,1.75,1.0,0.0,0.02978906468746345,58.746389601700955,policy_train,4,oracle_s3_quality_time
100,1.75,1.0,0.0,0.02978906468746345,58.746389601700955,policy_train,4,oracle_s3_reduction
100,1.75,1.0,0.0,0.029912129281399302,58.50469498633212,policy_train,4,oracle_h1_efficiency
100,1.25,0.5,0.0,0.029451166875105628,42.44314003926939,policy_train,4,v2_h1
200,0.95,0.65,0.3,0.09135446255026665,10.399054118207683,policy_train,10,v2_full
200,1.1,0.725,0.15,0.07879987317461996,13.959413330049502,policy_train,10,model_s3
200,1.2,0.875,0.025,0.04832266552512934,24.833067194440286,policy_train,10,oracle_s3_efficiency
200,1.275,0.9,0.0,0.056243755500375414,22.66918324811169,policy_train,10,oracle_s3_quality_time
200,1.275,0.9,0.0,0.056243755500375414,22.66918324811169,policy_train,10,oracle_s3_reduction
200,1.2,0.85,0.05,0.04387553468754035,27.35009404548117,policy_train,10,oracle_h1_efficiency
200,0.65,0.4,0.45,0.0583534711997558,11.13901172691026,policy_train,10,v2_h1
400,13.216666666666667,0.23333333333333334,0.18333333333333332,0.2843716771993077,46.47673353701639,policy_train,30,v2_full
400,11.791666666666666,0.20833333333333334,0.10833333333333334,0.25408656885026704,46.40806761263908,policy_train,30,model_s3
400,12.491666666666667,0.23333333333333334,0.03333333333333333,0.2038888203409987,61.26705057086839,policy_train,30,oracle_s3_efficiency
400,13.6,0.225,0.008333333333333333,0.28193758161705157,48.237627357081195,policy_train,30,oracle_s3_quality_time
400,13.616666666666667,0.225,0.008333333333333333,0.2874021195754054,47.37844900651151,policy_train,30,oracle_s3_reduction
400,8.708333333333334,0.2,0.0375,0.09659989623324611,90.14847502844674,policy_train,30,oracle_h1_efficiency
400,8.933333333333334,0.18333333333333332,0.25,0.12694120623323785,70.37378640407358,policy_train,30,v2_h1
600,11.036585365853659,0.3597560975609756,0.07317073170731707,0.6058716445241794,18.21604537132816,policy_train,82,v2_full
600,8.65548780487805,0.3597560975609756,0.036585365853658534,0.4444134014208443,19.47620791183477,policy_train,82,model_s3
600,9.365853658536585,0.42378048780487804,0.018292682926829267,0.40319620822537705,23.22902216704701,policy_train,82,oracle_s3_efficiency
600,10.807926829268293,0.4329268292682927,0.0,0.5707228031738402,18.937261257416825,policy_train,82,oracle_s3_quality_time
600,10.820121951219512,0.4329268292682927,0.0,0.5867146326950888,18.441881876231726,policy_train,82,oracle_s3_reduction
600,6.3064024390243905,0.2652439024390244,0.003048780487804878,0.1729035734099572,36.47352286972003,policy_train,82,oracle_h1_efficiency
600,6.073170731707317,0.1951219512195122,0.1402439024390244,0.2313845467926662,26.24708873557241,policy_train,82,v2_h1
all,6.526666666666666,0.35333333333333333,0.09333333333333334,0.5672741031455129,11.505313975160428,policy_validation,75,v2_full
all,5.01,0.39,0.07,0.3989924558704209,12.556628393061839,policy_validation,75,model_s3
all,6.37,0.45666666666666667,0.006666666666666667,0.3681705134783321,17.30176580361831,policy_validation,75,oracle_s3_efficiency
all,7.193333333333333,0.5,0.0,0.5242642082660132,13.720817137460232,policy_validation,75,oracle_s3_quality_time
all,7.196666666666666,0.5,0.0,0.5255993332192944,13.692305548766782,policy_validation,75,oracle_s3_reduction
all,3.691666666666667,0.24,0.0,0.16558696500490744,22.29442798566456,policy_validation,75,oracle_h1_efficiency
all,2.933333333333333,0.15333333333333332,0.19333333333333333,0.2225062832996385,13.183148313089005,policy_validation,75,v2_h1
400,11.954545454545455,0.38636363636363635,0.045454545454545456,0.3794704288851459,31.503233307709806,policy_validation,22,v2_full
400,8.306818181818182,0.4659090909090909,0.09090909090909091,0.2808651524661753,29.57582351843586,policy_validation,22,model_s3
400,11.397727272727273,0.5,0.022727272727272728,0.25015223398635167,45.563164042537124,policy_validation,22,oracle_s3_efficiency
400,13.159090909090908,0.5,0.0,0.3417707556810786,38.502682544817375,policy_validation,22,oracle_s3_quality_time
400,13.170454545454545,0.5,0.0,0.3463223180218103,38.029470987270045,policy_validation,22,oracle_s3_reduction
400,6.034090909090909,0.3181818181818182,0.0,0.11623091693185085,51.91468043419851,policy_validation,22,oracle_h1_efficiency
400,4.2727272727272725,0.20454545454545456,0.20454545454545456,0.15199368449909592,28.111215849581484,policy_validation,22,v2_h1
600,4.273584905660377,0.33962264150943394,0.11320754716981132,0.6452303452913255,6.623347672420501,policy_validation,53,v2_full
600,3.641509433962264,0.3584905660377358,0.06132075471698113,0.44802643086840965,8.12788974727211,policy_validation,53,model_s3
600,4.283018867924528,0.4386792452830189,0.0,0.417159233267456,10.267107920343042,policy_validation,53,oracle_s3_efficiency
600,4.716981132075472,0.5,0.0,0.6000162074522124,7.861422864066801,policy_validation,53,oracle_s3_quality_time
600,4.716981132075472,0.5,0.0,0.6000162074522124,7.861422864066801,policy_validation,53,oracle_s3_reduction
600,2.7193396226415096,0.20754716981132076,0.0,0.18607438118617622,14.614261271790454,policy_validation,53,oracle_h1_efficiency
600,2.3773584905660377,0.1320754716981132,0.18867924528301888,0.251775663933826,9.442368072519022,policy_validation,53,v2_h1
