action_sensitive,agent_count,arm_count,auc_spread_fraction,feasible_outcome_differs,feasible_time_spread_fraction,final_conflict_ratio_spread,layout_mode,map_id,state_id,trial_count
True,100,2,7.076131264092302,False,0.9342914285291375,0.0,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0007__seed_0000__realized_dynamic__decision_0000__0000,2
True,200,3,7.840740566667481,False,5.947236400465606,0.0,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0011__seed_0000__fixed_random__decision_0000__0013,2
True,600,3,1.2677752817000028,False,0.0,0.1595744680851064,compartmentalized,policy_train_compartmentalized_double_horizontal_0001,s3__policy_train__policy_train_compartmentalized_double_horizontal_0001__task_0016__seed_0000__official_adaptive__decision_0000__0040,2
True,100,3,3.3475971167402165,False,1.4800128040116751,0.0,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0006__seed_0000__fixed_random__decision_0009__0001,2
True,200,3,2.549474339462351,False,2.2502096873707114,0.0,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0010__seed_0000__official_adaptive__decision_0000__0014,2
True,400,3,1.9248475311266346,True,0.30661956510621685,0.16666666666666666,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0004__0026,2
True,400,3,1.0463332947871822,True,0.49512002592584475,0.25396825396825395,compartmentalized,policy_train_compartmentalized_double_horizontal_0002,s3__policy_train__policy_train_compartmentalized_double_horizontal_0002__task_0013__seed_0000__fixed_random__decision_0006__0022,2
True,400,3,1.2866487776722728,False,0.10138559455485907,0.0,dead_end_aisles,policy_train_dead_end_aisles_0002,s3__policy_train__policy_train_dead_end_aisles_0002__task_0012__seed_0000__realized_dynamic__decision_0000__0090,2
True,600,4,3.693728614908355,False,1.7921144243531617,0.0,dead_end_aisles,policy_train_dead_end_aisles_0002,s3__policy_train__policy_train_dead_end_aisles_0002__task_0016__seed_0000__fixed_random__decision_0000__0103,2
True,200,3,0.2884329818086267,False,0.07452588681438331,0.0,regular_beltway,policy_train_regular_beltway_0002,s3__policy_train__policy_train_regular_beltway_0002__task_0011__seed_0000__official_adaptive__decision_0000__0109,2
True,400,2,0.9208316341349632,False,0.12962042921330916,0.0,regular_beltway,policy_train_regular_beltway_0002,s3__policy_train__policy_train_regular_beltway_0002__task_0015__seed_0000__realized_dynamic__decision_0000__0110,2
True,600,3,0.9576471054310081,False,0.5177262725143049,0.0,regular_beltway,policy_train_regular_beltway_0002,s3__policy_train__policy_train_regular_beltway_0002__task_0019__seed_0000__fixed_random__decision_0000__0116,2
